X,Y,OBJECTID,source,ext_id,cat1,cat2,cat3,org_name,Name,addrln1,addrln2,city,state,hours,phones,email,url,info1,info2,post_id,description,zip,link,use_type,latitude,longitude,date_updated,dis_status,POINT_X,POINT_Y
6468056.285,1829197.007,72737,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Western Station,,,,,,,,,,,3306151,EXPO Line,,,publish,34.01833585,-118.3089222,2023/04/04 16:19:54+00,,34.01833585,-118.3089222
6460131.596,1830749.046,72738,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Crenshaw Station,,,,,,,,,,,3306152,EXPO Line,,,publish,34.02253085,-118.3350902,2023/04/04 16:19:54+00,,34.02253085,-118.3350902
6456795.07,1831289.858,72739,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Farmdale Station,,,,,,,,,,,3306153,EXPO Line,,,publish,34.02398585,-118.3461072,2023/04/04 16:19:54+00,,34.02398585,-118.3461072
6454049.62,1831598.579,72740,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / La Brea Station,,,,,,,,,,,3306154,EXPO Line,,,publish,34.02480785,-118.3551712,2023/04/04 16:19:54+00,,34.02480785,-118.3551712
6448912.366,1832181.971,72741,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,La Cienega / Jefferson Station,,,,,,,,,,,3306155,EXPO Line,,,publish,34.02635985,-118.3721322,2023/04/04 16:19:54+00,,34.02635985,-118.3721322
6443804.075,1832762.116,72742,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Culver City Station,,,,,,,,,,,3306156,EXPO Line,,,publish,34.02790085,-118.3889982,2023/04/04 16:19:54+00,,34.02790085,-118.3889982
6504112.278,1738275.239,72743,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,1st Street Station,,,,,,,,,,,3306157,Blue Line,,,publish,33.76874483,-118.1893742,2023/04/04 16:19:54+00,,33.76874483,-118.1893742
6504100.412,1740043.23,72744,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,5th Street Station,,,,,,,,,,,3306158,Blue Line,,,publish,33.77360283,-118.1894242,2023/04/04 16:19:54+00,,33.77360283,-118.1894242
6447685.807,1883917.608,72745,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,North Hollywood Station,,,,,,,,,,,3306159,Red Line,,,publish,34.16850886,-118.3768202,2023/04/04 16:19:54+00,,34.16850886,-118.3768202
6451916.2,1873529.577,72746,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Universal / Studio City Station,,,,,,,,,,,3306160,Red Line,,,publish,34.14000686,-118.3627112,2023/04/04 16:19:54+00,,34.14000686,-118.3627112
6459176.677,1859509.678,72747,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Highland Station,,,,,,,,,,,3306161,Red Line,,,publish,34.10155186,-118.3385612,2023/04/04 16:19:54+00,,34.10155186,-118.3385612
6463223.999,1859526.521,72748,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Vine Station,,,,,,,,,,,3306162,Red Line,,,publish,34.10163486,-118.3251922,2023/04/04 16:19:54+00,,34.10163486,-118.3251922
6468389.633,1859549.187,72749,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hollywood / Western Station,,,,,,,,,,,3306163,Red Line,,,publish,34.10174186,-118.3081292,2023/04/04 16:19:54+00,,34.10174186,-118.3081292
6473338.369,1858068.185,72750,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Sunset Station,,,,,,,,,,,3306164,Red Line,,,publish,34.09771286,-118.2917682,2023/04/04 16:19:54+00,,34.09771286,-118.2917682
6473338.004,1855230.335,72751,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Santa Monica Station,,,,,,,,,,,3306165,Red Line,,,publish,34.08991486,-118.2917422,2023/04/04 16:19:54+00,,34.08991486,-118.2917422
6473337.192,1850359.625,72752,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Beverly Station,,,,,,,,,,,3306166,Red Line,,,publish,34.07653086,-118.2916982,2023/04/04 16:19:54+00,,34.07653086,-118.2916982
6473808.401,1845327.058,72753,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Vermont Station,,,,,,,,,,,3306167,Red/Purple Line,,,publish,34.06270585,-118.2900942,2023/04/04 16:19:54+00,,34.06270585,-118.2900942
6478406.678,1843009.425,72754,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Westlake / MacArthur Park Station,,,,,,,,,,,3306168,Red/Purple Line,,,publish,34.05637286,-118.2748912,2023/04/04 16:19:54+00,,34.05637286,-118.2748912
6483305.444,1840181.86,72755,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,7th St / Metro Center Station,,,,,,,,,,,3306169,Red/Purple Line,,,publish,34.04863885,-118.2586942,2023/04/04 16:19:54+00,,34.04863885,-118.2586942
6485554.672,1840424.348,72756,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pershing Square Station,,,,,,,,,,,3306170,Red/Purple Line,,,publish,34.04932086,-118.2512712,2023/04/04 16:19:54+00,,34.04932086,-118.2512712
6487135.446,1842452.57,72757,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Civic Center / Grand Park Station,,,,,,,,,,,3306171,Red/Purple Line,,,publish,34.05490486,-118.2460692,2023/04/04 16:19:54+00,,34.05490486,-118.2460692
6490713.209,1842916.027,72758,Metropolitan Transportation Authority (MTA),1054069001,Transportation,Metro Stations,,LA County,Union Station,800 N. Alameda St.,,Los Angeles,CA,"Monday through Thursday, 9:00a to 7:00pm; Friday, 9:00am to 5:30pm; first and fourth Saturday of the month, 9:00am to 3:00pm.",(800) USA-RAIL / Amtrak Service/Intake (800) 872-7245,,http://www.metrolinktrains.com/stations/detail.php?id=131,,,3306172,Red/Purple Line,90012,,publish,34.05620186,-118.2342612,2023/04/04 16:19:54+00,,34.05620186,-118.2342612
6470361.883,1844992.202,72759,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Normandie Station,,,,,,,,,,,3306173,Purple Line,,,publish,34.06175785,-118.3014702,2023/04/04 16:19:54+00,,34.06175785,-118.3014702
6468151.42,1844975.621,72760,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Wilshire / Western Station,,,,,,,,,,,3306174,Purple Line,,,publish,34.06169385,-118.3087682,2023/04/04 16:19:54+00,,34.06169385,-118.3087682
6449622.289,1784245.09,72761,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Redondo Beach Station,,,,,,,,,,,3306175,Green Line,,,publish,33.89464483,-118.3692082,2023/04/04 16:19:54+00,,33.89464483,-118.3692082
6445413.534,1788139.927,72762,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Douglas Station,,,,,,,,,,,3306176,Green Line,,,publish,33.90530383,-118.3831252,2023/04/04 16:19:54+00,,33.90530383,-118.3831252
6444389.005,1792061.146,72763,HSIP Freedom Gnis_cultural_fe,241925,Transportation,Metro Stations,,US Geological Survey (USGS),El Segundo Station,,,,,,,,,,,3306177,Green Line,,,publish,33.91606783,-118.3865512,2023/04/04 16:19:54+00,,33.91606783,-118.3865512
6444085.605,1794659.65,72764,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Mariposa Station,,,,,,,,,,,3306178,Green Line,,,publish,33.92320483,-118.3875842,2023/04/04 16:19:54+00,,33.92320483,-118.3875842
6447261.023,1796984.335,72765,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Aviation / LAX Station,,,,,,,,,,,3306179,Green Line,,,publish,33.92962583,-118.3771462,2023/04/04 16:19:54+00,,33.92962583,-118.3771462
6455011.082,1798334.424,72766,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Hawthorne / Lennox Station,,,,,,,,,,,3306180,Green Line,,,publish,33.93341284,-118.3516142,2023/04/04 16:19:54+00,,33.93341284,-118.3516142
6462600.67,1795322.093,72767,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Crenshaw Station,,,,,,,,,,,3306181,Green Line,,,publish,33.92520584,-118.3265622,2023/04/04 16:19:54+00,,33.92520584,-118.3265622
6473166.806,1796556.781,72768,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Vermont / Athens Station,,,,,,,,,,,3306182,Green Line,,,publish,33.92868784,-118.2917452,2023/04/04 16:19:54+00,,33.92868784,-118.2917452
6476392.446,1796558.872,72769,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Harbor Freeway Station,,,,,,,,,,,3306183,Green Line,,,publish,33.92871884,-118.2811122,2023/04/04 16:19:54+00,,33.92871884,-118.2811122
6481209.486,1796091.24,72770,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Avalon Station,,,,,,,,,,,3306184,Green Line,,,publish,33.92746984,-118.2652292,2023/04/04 16:19:54+00,,33.92746984,-118.2652292
6489451.025,1796359.2,72771,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Willowbrook - Rosa Parks Station,,,,,,,,,,,3306185,Green Line,,,publish,33.92826284,-118.2380642,2023/04/04 16:19:54+00,,33.92826284,-118.2380642
6497975.006,1795110.871,72772,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Long Beach Blvd Station,,,,,,,,,,,3306186,Green Line,,,publish,33.92488484,-118.2099572,2023/04/04 16:19:54+00,,33.92488484,-118.2099572
6519006.383,1790776.264,72773,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Lakewood Blvd Station,,,,,,,,,,,3306187,Green Line,,,publish,33.91307485,-118.1406122,2023/04/04 16:19:54+00,,33.91307485,-118.1406122
6529894.218,1791113.435,72774,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Norwalk Station,,,,,,,,,,,3306188,Green Line,,,publish,33.91403785,-118.1047292,2023/04/04 16:19:54+00,,33.91403785,-118.1047292
6514865.604,1834572.308,72775,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Atlantic Station,,,,,,,,,,,3306189,Gold Line,,,publish,34.03340286,-118.1544812,2023/04/04 16:19:54+00,,34.03340286,-118.1544812
6512824.408,1834563.14,72776,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,East LA Civic Center Station,,,,,,,,,,,3306190,Gold Line,,,publish,34.03336886,-118.1612182,2023/04/04 16:19:54+00,,34.03336886,-118.1612182
6510723.516,1834550.205,72777,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Maravilla Station,,,,,,,,,,,3306191,Gold Line,,,publish,34.03332386,-118.1681522,2023/04/04 16:19:54+00,,34.03332386,-118.1681522
6503439.949,1834920.266,72778,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Indiana Station,,,,,,,,,,,3306192,Gold Line,,,publish,34.03430486,-118.1921942,2023/04/04 16:19:54+00,,34.03430486,-118.1921942
6498030.216,1838369.047,72779,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Soto Station,,,,,,,,,,,3306193,Gold Line,,,publish,34.04375186,-118.2100732,2023/04/04 16:19:54+00,,34.04375186,-118.2100732
6495128.666,1839637.325,72780,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Mariachi Plaza / Boyle Heights Station,,,,,,,,,,,3306194,Gold Line,,,publish,34.04721986,-118.2196602,2023/04/04 16:19:54+00,,34.04721986,-118.2196602
6493222.976,1839794.031,72781,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Pico / Aliso Station,,,,,,,,,,,3306195,Gold Line,,,publish,34.04763886,-118.2259522,2023/04/04 16:19:54+00,,34.04763886,-118.2259522
6489601.778,1840699.815,72782,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Little Tokyo / Arts District Station,,,,,,,,,,,3306196,Gold Line,,,publish,34.05010486,-118.2379132,2023/04/04 16:19:54+00,,34.05010486,-118.2379132
6490558.616,1842866.895,72783,Metropolitan Transportation Authority (MTA),1054069001,Transportation,Metro Stations,,LA County,Union Station,800 N. Alameda St.,,Los Angeles,CA,"Monday through Thursday, 9:00a to 7:00pm; Friday, 9:00am to 5:30pm; first and fourth Saturday of the month, 9:00am to 3:00pm.",(800) USA-RAIL / Amtrak Service/Intake (800) 872-7245,,http://www.metrolinktrains.com/stations/detail.php?id=131,,,3306197,Gold Line,90012,,publish,34.05606586,-118.2347712,2023/04/04 16:19:54+00,,34.05606586,-118.2347712
6490237.844,1845706.225,72784,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Chinatown Station,,,,,,,,,,,3306198,Gold Line,,,publish,34.06386586,-118.2358522,2023/04/04 16:19:54+00,,34.06386586,-118.2358522
6494919,1851914.267,72785,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Lincoln Heights / Cypress Park Station,,,,,,,,,,,3306199,Gold Line,,,publish,34.08095386,-118.2204412,2023/04/04 16:19:54+00,,34.08095386,-118.2204412
6497108.906,1854194.232,72786,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Heritage Square / Arroyo Station,,,,,,,,,,,3306200,Gold Line,,,publish,34.08723186,-118.2132252,2023/04/04 16:19:54+00,,34.08723186,-118.2132252
6499085.554,1858199.042,72787,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Southwest Museum Station,,,,,,,,,,,3306201,Gold Line,,,publish,34.09824786,-118.2067242,2023/04/04 16:19:54+00,,34.09824786,-118.2067242
6503365.096,1862898.203,72788,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Highland Park Station,,,,,,,,,,,3306202,Gold Line,,,publish,34.11118387,-118.1926182,2023/04/04 16:19:54+00,,34.11118387,-118.1926182
6513877.074,1864338.1,72789,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,South Pasadena Station,,,,,,,,,,,3306203,Gold Line,,,publish,34.11519087,-118.1578982,2023/04/04 16:19:54+00,,34.11519087,-118.1578982
6516841.102,1871006.042,72790,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Fillmore Station,,,,,,,,,,,3306204,Gold Line,,,publish,34.13352587,-118.1481382,2023/04/04 16:19:54+00,,34.13352587,-118.1481382
6516818.973,1874058.989,72791,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Del Mar Station,,,,,,,,,,,3306205,Gold Line,,,publish,34.14191487,-118.1482262,2023/04/04 16:19:54+00,,34.14191487,-118.1482262
6517034.832,1876404.492,72792,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Memorial Park Station,,,,,,,,,,,3306206,Gold Line,,,publish,34.14836087,-118.1475242,2023/04/04 16:19:54+00,,34.14836087,-118.1475242
6521914.408,1877653.241,72793,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Lake Station,,,,,,,,,,,3306207,Gold Line,,,publish,34.15181087,-118.1314022,2023/04/04 16:19:54+00,,34.15181087,-118.1314022
6527070.744,1877869.293,72794,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Allen Station,,,,,,,,,,,3306208,Gold Line,,,publish,34.15242187,-118.1143602,2023/04/04 16:19:54+00,,34.15242187,-118.1143602
6537094.647,1876161.862,72795,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Sierra Madre Villa Station,,,,,,,,,,,3306209,Gold Line,,,publish,34.14775688,-118.0812242,2023/04/04 16:19:54+00,,34.14775688,-118.0812242
6439179.687,1833299.681,72796,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Palms Station,,,,,,,,,,,3306210,EXPO Line,,,publish,34.02932784,-118.4042672,2023/04/04 16:19:54+00,,34.02932784,-118.4042672
6433034.093,1836051.893,72797,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Westwood / Rancho Park Station,,,,,,,,,,,3306211,EXPO Line,,,publish,34.03682084,-118.4245882,2023/04/04 16:19:54+00,,34.03682084,-118.4245882
6430105.841,1835551.999,72798,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Sepulveda Station,,,,,,,,,,,3306212,EXPO Line,,,publish,34.03541284,-118.4342462,2023/04/04 16:19:54+00,,34.03541284,-118.4342462
6424445.74,1834229.368,72799,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Expo / Bundy Station,,,,,,,,,,,3306213,EXPO Line,,,publish,34.03170984,-118.4529082,2023/04/04 16:19:54+00,,34.03170984,-118.4529082
6419523.837,1832901.785,72800,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,26th St / Bergamot Station,,,,,,,,,,,3306214,EXPO Line,,,publish,34.02799984,-118.4691322,2023/04/04 16:19:54+00,,34.02799984,-118.4691322
6416106.101,1831156.534,72801,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,17th St / SMC Station,,,,,,,,,,,3306215,EXPO Line,,,publish,34.02315984,-118.4803842,2023/04/04 16:19:54+00,,34.02315984,-118.4803842
6412753.042,1827844.654,72802,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Downtown Santa Monica Station,,,,,,,,,,,3306216,EXPO Line,,,publish,34.01401484,-118.4913962,2023/04/04 16:19:54+00,,34.01401484,-118.4913962
6552831.514,1874372.93,72803,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Arcadia Station,,,,,,,,,,,3306217,Gold Line,,,publish,34.14286488,-118.0292112,2023/04/04 16:19:54+00,,34.14286488,-118.0292112
6560615.67,1870839.837,72804,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Monrovia Station,,,,,,,,,,,3306218,Gold Line,,,publish,34.13315988,-118.0034852,2023/04/04 16:19:54+00,,34.13315988,-118.0034852
6571447.395,1870609.576,72805,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Duarte / City of Hope Station,,,,,,,,,,,3306219,Gold Line,,,publish,34.13252288,-117.9676922,2023/04/04 16:19:54+00,,34.13252288,-117.9676922
6582092.652,1869352.064,72806,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Irwindale Station,,,,,,,,,,,3306220,Gold Line,,,publish,34.12905288,-117.9325181,2023/04/04 16:19:54+00,,34.12905288,-117.9325181
6589921.003,1871838.433,72807,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Azusa Downtown Station,,,,,,,,,,,3306221,Gold Line,,,publish,34.13586788,-117.9066431,2023/04/04 16:19:54+00,,34.13586788,-117.9066431
6594458.256,1872189.072,72808,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,APU / Citrus College Station,,,,,,,,,,,3306222,Gold Line,,,publish,34.13681889,-117.8916481,2023/04/04 16:19:54+00,,34.13681889,-117.8916481
6379777.892,1888992.134,72809,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Warner Center Metro Station,6101 1/2 Owensmouth Ave,,Canoga Park,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306223,Orange Line,91367,,publish,34.18154485,-118.6014123,2023/04/04 16:19:54+00,,34.18154485,-118.6014123
6381164.407,1892266.469,72810,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,,Canoga Metro Station East-West,,,,,,,,,,,3306224,Orange Line,,,publish,34.19056485,-118.5968923,2023/04/04 16:19:54+00,,34.19056485,-118.5968923
6383637.17,1891578.626,72811,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),De Soto Metro Station,20901 Victory Blvd,,Woodland Hills,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306225,Orange Line,91367,,publish,34.18871485,-118.5887023,2023/04/04 16:19:54+00,,34.18871485,-118.5887023
6389119.328,1890910.146,72812,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Pierce College Metro Station,6425 Winnetka Ave,,Woodland Hills,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306226,Orange Line,91367,,publish,34.18696485,-118.5705623,2023/04/04 16:19:54+00,,34.18696485,-118.5705623
6394390.767,1888729.892,72813,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Tampa Metro Station,6101 Tampa Ave,,Tarzana,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306227,Orange Line,91335,,publish,34.18105485,-118.5530923,2023/04/04 16:19:54+00,,34.18105485,-118.5530923
6399407.104,1888484.35,72814,Metropolitan Transportation Authority (MTA),,Transportation,Metro Stations,,Metropolitan Transit Authority (MTA),Reseda Metro Station,6065 N. Reseda Blvd,,Tarzana,CA,"6:30am - 7pm (Monday - Friday)    
8:00am - 4:30pm (Saturday/Sunday)",323.GO.METRO (323.466.3876),,http://www.metro.net/around/rail/orange-line/,,,3306228,Orange Line,91335,,publish,34.18045485,-118.5365023,2023/04/04 16:19:54+00,,34.18045485,-118.5365023
